X,Y
10,20.4106421826
10.2329299228,20.7456334836
10.4712854805,21.0814480837
10.7151930524,21.4178621067
10.9647819614,21.75464643
11.220184543,22.0915672698
11.481536215,22.4283868107
11.7489755494,22.7648638754
12.0226443462,23.1007546318
12.3026877081,23.4358133328
12.5892541179,23.7697930854
12.8824955169,24.1024466434
13.1825673856,24.4335272188
13.4896288259,24.7627893062
13.803842646,25.0899895136
14.1253754462,25.4148873948
14.4543977075,25.7372462756
14.7910838817,26.0568340681
15.1356124844,26.3734240673
15.4881661891,26.686795722
15.8489319246,26.9967353762
16.2181009736,27.3030369735
16.5958690744,27.6055027196
16.9824365246,27.9039436983
17.3780082875,28.1981804357
17.7827941004,28.4880434104
18.1970085861,28.7733735034
18.6208713666,29.0540223888
19.0546071796,29.3298528598
19.4984459976,29.6007390915
19.9526231497,29.8665668379
20.4173794467,30.1272335646
20.8929613085,30.3826485171
21.379620895,30.632732726
21.8776162395,30.8774189524
22.3872113857,31.1166515735
22.9086765277,31.3503864143
23.4422881532,31.5785905263
23.9883291902,31.8012419185
24.5470891569,32.0183292443
25.1188643151,32.229851448
25.7039578277,32.4358173764
26.302679919,32.636245359
26.9153480393,32.8311627622
27.5422870334,33.0206055211
28.1838293126,33.2046176542
28.8403150313,33.383250765
29.5120922667,33.5565635341
30.199517204,33.7246212071
30.9029543251,33.8874950798
31.6227766017,34.0452619871
32.359365693,34.1980037956
33.1131121483,34.3458069054
33.8844156139,34.488761762
34.6736850453,34.6269623813
35.4813389234,34.7605058898
36.307805477,34.8894920813
37.1535229097,35.0140229912
38.0189396321,35.1342024912
38.9045144994,35.2501359026
39.8107170554,35.3619296319
40.7380277804,35.4696908263
41.686938347,35.5735270516
42.6579518802,35.673545991
43.651583224,35.7698551655
44.6683592151,35.8625616755
45.7088189615,35.951771963
46.7735141287,36.0375915938
47.8630092323,36.1201250599
48.9778819368,36.1994755999
50.1187233627,36.2757450387
51.2861383991,36.3490336437
52.480746025,36.4194399981
53.703179637,36.4870608896
54.9540873858,36.551991214
56.234132519,36.614323893
57.5439937337,36.6741498049
58.8843655356,36.7315577273
60.2559586074,36.7866342917
61.6595001862,36.8394639479
63.095734448,36.8901289391
64.5654229035,36.9387092849
66.0693448008,36.9852827729
67.6082975392,37.0299249581
69.1830970919,37.0727091687
70.7945784384,37.1137065177
72.4435960075,37.1529859207
74.1310241301,37.1906141182
75.8577575029,37.2266557022
77.6247116629,37.2611731467
79.4328234724,37.2942268418
81.2830516164,37.3258751306
83.1763771103,37.3561743482
85.1138038202,37.3851788635
87.0963589956,37.4129411225
89.1250938134,37.4395116926
91.2010839356,37.464939309
93.3254300797,37.4892709209
95.4992586021,37.5125517393
97.7237220956,37.5348252846
100,37.556133435
102.3292992281,37.5765164737
104.7128548051,37.5960131378
107.1519305238,37.6146606655
109.6478196143,37.6324948431
112.2018454302,37.6495500523
114.8153621497,37.6658593161
117.489755494,37.681454344
120.2264434617,37.6963655771
123.0268770812,37.7106222315
125.8925411794,37.7242523415
128.8249551693,37.7372828018
131.8256738556,37.7497394079
134.8962882592,37.7616468968
138.0384264603,37.7730289854
141.2537544623,37.7839084092
144.5439770746,37.7943069585
147.9108388168,37.8042455148
151.3561248436,37.8137440851
154.8816618912,37.8228218361
158.4893192461,37.8314971269
162.1810097359,37.8397875403
165.9586907438,37.8477099136
169.8243652462,37.8552803683
173.7800828749,37.8625143389
177.8279410039,37.8694265999
181.970085861,37.8760312932
186.2087136663,37.8823419533
190.5460717963,37.8883715324
194.9844599758,37.8941324243
199.5262314969,37.8996364871
204.173794467,37.9048950657
208.9296130854,37.9099190132
213.7962089502,37.9147187111
218.776162395,37.9193040893
223.8721138568,37.9236846448
229.0867652768,37.9278694603
234.422881532,37.9318672217
239.8832919019,37.9356862344
245.4708915685,37.9393344403
251.188643151,37.9428194326
257.0395782769,37.9461484711
263.0267991895,37.9493284962
269.1534803927,37.9523661431
275.4228703338,37.9552677544
281.8382931264,37.9580393931
288.4031503127,37.9606868543
295.1209226666,37.9632156774
301.9951720402,37.9656311565
309.0295432514,37.9679383516
316.2277660168,37.9701420985
323.5936569296,37.9722470187
331.1311214826,37.9742575288
338.8441561392,37.9761778491
346.7368504525,37.9780120127
354.8133892336,37.9797638735
363.0780547701,37.9814371139
371.5352290972,37.9830352526
380.1893963206,37.9845616514
389.0451449943,37.9860195229
398.1071705535,37.987411936
407.3802778041,37.9887418231
416.8693834703,37.9900119859
426.5795188016,37.9912251008
436.5158322402,37.9923837251
446.683592151,37.9934903016
457.0881896149,37.9945471643
467.7351412872,37.9955565426
478.6300923226,37.9965205666
489.7788193684,37.9974412708
501.1872336273,37.998320599
512.8613839914,37.9991604079
524.8074602498,37.9999624711
537.0317963702,38.000728483
549.5408738576,38.0014600619
562.3413251903,38.0021587538
575.4399373372,38.0028260353
588.8436553556,38.003463317
602.5595860744,38.0040719463
616.5950018615,38.00465321
630.9573444802,38.0052083374
645.6542290347,38.0057385027
660.6934480076,38.0062448274
676.082975392,38.0067283826
691.8309709189,38.0071901914
707.9457843841,38.0076312311
724.435960075,38.0080524351
741.3102413009,38.0084546949
758.5775750292,38.0088388619
776.2471166287,38.0092057495
794.3282347243,38.0095561343
812.8305161641,38.0098907582
831.7637711027,38.0102103298
851.1380382024,38.0105155258
870.9635899561,38.0108069927
891.2509381337,38.0110853476
912.0108393559,38.0113511802
933.254300797,38.0116050536
954.9925860214,38.0118475055
977.2372209558,38.0120790496
1000,38.0123001765
1023.292992281,38.0125113546
1047.128548051,38.0127130314
1071.519305238,38.0129056343
1096.478196143,38.0130895714
1122.018454302,38.0132652324
1148.153621497,38.0134329896
1174.89755494,38.0135931986
1202.264434617,38.0137461989
1230.268770812,38.0138923148
1258.925411794,38.0140318559
1288.249551693,38.0141651181
1318.256738556,38.0142923838
1348.962882592,38.0144139228
1380.384264603,38.0145299927
1412.537544623,38.0146408397
1445.439770746,38.0147466986
1479.108388168,38.0148477938
1513.561248436,38.0149443398
1548.816618912,38.0150365412
1584.893192461,38.0151245935
1621.810097359,38.0152086834
1659.586907438,38.0152889891
1698.243652462,38.0153656809
1737.800828749,38.0154389214
1778.279410039,38.015508866
1819.70085861,38.0155756629
1862.087136663,38.0156394538
1905.460717963,38.015700374
1949.844599758,38.0157585525
1995.262314969,38.0158141128
2041.73794467,38.0158671728
2089.296130854,38.0159178448
2137.962089502,38.0159662364
2187.76162395,38.0160124502
2238.721138568,38.0160565842
2290.867652768,38.016098732
2344.22881532,38.016138983
2398.832919019,38.0161774225
2454.708915685,38.016214132
2511.88643151,38.0162491894
2570.395782769,38.0162826691
2630.267991895,38.016314642
2691.534803927,38.016345176
2754.228703338,38.0163743358
2818.382931264,38.0164021832
2884.031503127,38.0164287774
2951.209226666,38.0164541747
3019.951720402,38.016478429
3090.295432514,38.0165015916
3162.277660168,38.0165237119
3235.936569296,38.0165448366
3311.311214826,38.0165650105
3388.441561392,38.0165842765
3467.368504525,38.0166026755
3548.133892336,38.0166202463
3630.780547701,38.0166370264
3715.352290972,38.0166530512
3801.893963206,38.0166683549
3890.451449943,38.0166829698
3981.071705535,38.0166969269
4073.802778041,38.0167102558
4168.693834703,38.0167229849
4265.795188016,38.0167351411
4365.158322402,38.0167467502
4466.83592151,38.0167578368
4570.881896149,38.0167684244
4677.351412872,38.0167785355
4786.300923226,38.0167881915
4897.788193684,38.016797413
5011.872336273,38.0168062194
5128.613839914,38.0168146295
5248.074602498,38.016822661
5370.317963702,38.0168303311
5495.408738576,38.016837656
5623.413251903,38.0168446512
5754.399373372,38.0168513316
5888.436553556,38.0168577113
6025.595860744,38.0168638039
6165.950018615,38.0168696223
6309.573444802,38.0168751788
6456.542290347,38.0168804852
6606.934480076,38.0168855528
6760.82975392,38.0168903923
6918.309709189,38.016895014
7079.457843841,38.0168994277
7244.35960075,38.0169036428
7413.102413009,38.0169076681
7585.775750292,38.0169115123
7762.471166287,38.0169151835
7943.282347243,38.0169186894
8128.305161641,38.0169220376
8317.637711027,38.016925235
8511.380382024,38.0169282885
8709.635899561,38.0169312047
8912.509381337,38.0169339895
9120.108393559,38.016936649
9332.54300797,38.0169391889
9549.925860214,38.0169416144
9772.372209558,38.0169439307
10000,38.0169461428
10232.92992281,38.0169482554
10471.28548051,38.0169502728
10715.19305238,38.0169521995
10964.78196143,38.0169540394
11220.18454302,38.0169557966
11481.53621497,38.0169574746
11748.9755494,38.0169590772
12022.64434617,38.0169606076
12302.68770812,38.0169620691
12589.25411794,38.0169634648
12882.49551693,38.0169647977
13182.56738556,38.0169660707
13489.62882592,38.0169672863
13803.84264603,38.0169684472
14125.37544623,38.0169695559
14454.39770746,38.0169706147
14791.08388168,38.0169716258
15135.61248436,38.0169725914
15488.16618912,38.0169735136
15848.93192461,38.0169743943
16218.10097359,38.0169752353
16595.86907438,38.0169760384
16982.43652462,38.0169768055
17378.00828749,38.016977538
17782.79410039,38.0169782375
18197.0085861,38.0169789055
18620.87136663,38.0169795435
19054.60717963,38.0169801528
19498.44599758,38.0169807346
19952.62314969,38.0169812903
20417.3794467,38.0169818209
20892.96130854,38.0169823277
21379.62089502,38.0169828116
21877.6162395,38.0169832738
22387.21138568,38.0169837152
22908.67652768,38.0169841367
23442.2881532,38.0169845392
23988.32919019,38.0169849236
24547.08915685,38.0169852908
25118.8643151,38.0169856414
25703.95782769,38.0169859762
26302.67991895,38.0169862959
26915.34803927,38.0169866013
27542.28703338,38.0169868929
28183.82931264,38.0169871714
28840.31503127,38.0169874373
29512.09226666,38.0169876913
30199.51720402,38.0169879339
30902.95432514,38.0169881655
31622.77660168,38.0169883867
32359.36569296,38.016988598
33113.11214826,38.0169887997
33884.41561392,38.0169889924
34673.68504525,38.0169891764
35481.33892336,38.0169893521
36307.80547701,38.0169895199
37153.52290972,38.0169896801
38018.93963206,38.0169898332
38904.51449943,38.0169899793
39810.71705535,38.0169901189
40738.02778041,38.0169902522
41686.93834703,38.0169903795
42657.95188016,38.0169905011
43651.58322402,38.0169906172
44668.3592151,38.016990728
45708.81896149,38.0169908339
46773.51412872,38.016990935
47863.00923226,38.0169910316
48977.88193684,38.0169911238
50118.72336273,38.0169912119
51286.13839914,38.016991296
52480.74602498,38.0169913763
53703.17963702,38.016991453
54954.08738576,38.0169915262
56234.13251903,38.0169915962
57543.99373372,38.016991663
58884.36553556,38.0169917268
60255.95860744,38.0169917877
61659.50018615,38.0169918459
63095.73444802,38.0169919015
64565.42290346,38.0169919545
66069.34480076,38.0169920052
67608.2975392,38.0169920536
69183.09709189,38.0169920998
70794.57843841,38.016992144
72443.5960075,38.0169921861
74131.02413009,38.0169922264
75857.75750292,38.0169922648
77624.71166287,38.0169923015
79432.82347243,38.0169923366
81283.05161641,38.0169923701
83176.37711027,38.016992402
85113.80382024,38.0169924326
87096.35899561,38.0169924617
89125.09381337,38.0169924896
91201.08393559,38.0169925162
93325.4300797,38.0169925416
95499.25860214,38.0169925658
97723.72209558,38.016992589
100000,38.0169926111
102329.2992281,38.0169926322
104712.8548051,38.0169926524
107151.9305238,38.0169926717
109647.8196143,38.0169926901
112201.8454302,38.0169927076
114815.3621497,38.0169927244
117489.755494,38.0169927405
120226.4434617,38.0169927558
123026.8770812,38.0169927704
125892.5411794,38.0169927843
128824.9551693,38.0169927977
131825.6738556,38.0169928104
134896.2882592,38.0169928225
138038.4264603,38.0169928342
141253.7544623,38.0169928452
144543.9770746,38.0169928558
147910.8388168,38.0169928659
151356.1248436,38.0169928756
154881.6618912,38.0169928848
158489.3192461,38.0169928936
162181.0097359,38.016992902
165958.6907438,38.0169929101
169824.3652462,38.0169929177
173780.0828749,38.0169929251
177827.9410039,38.0169929321
181970.085861,38.0169929387
186208.7136663,38.0169929451
190546.0717963,38.0169929512
194984.4599758,38.016992957
199526.2314969,38.0169929626
204173.794467,38.0169929679
208929.6130854,38.016992973
213796.2089502,38.0169929778
218776.162395,38.0169929824
223872.1138568,38.0169929868
229086.7652768,38.016992991
234422.881532,38.0169929951
239883.2919019,38.0169929989
245470.8915685,38.0169930026
251188.643151,38.0169930061
257039.5782769,38.0169930094
263026.7991895,38.0169930126
269153.4803927,38.0169930157
275422.8703338,38.0169930186
281838.2931264,38.0169930214
288403.1503127,38.0169930241
295120.9226666,38.0169930266
301995.1720402,38.016993029
309029.5432514,38.0169930313
316227.7660168,38.0169930335
323593.6569296,38.0169930357
331131.1214826,38.0169930377
338844.1561392,38.0169930396
346736.8504525,38.0169930414
354813.3892336,38.0169930432
363078.0547701,38.0169930449
371535.2290972,38.0169930465
380189.3963206,38.016993048
389045.1449943,38.0169930495
398107.1705535,38.0169930509
407380.2778041,38.0169930522
416869.3834703,38.0169930535
426579.5188016,38.0169930547
436515.8322402,38.0169930559
446683.592151,38.016993057
457088.1896149,38.016993058
467735.1412872,38.016993059
478630.0923226,38.01699306
489778.8193684,38.0169930609
501187.2336273,38.0169930618
512861.3839914,38.0169930626
524807.4602498,38.0169930634
537031.7963702,38.0169930642
549540.8738576,38.0169930649
562341.3251903,38.0169930656
575439.9373371,38.0169930663
588843.6553556,38.016993067
602559.5860743,38.0169930676
616595.0018615,38.0169930681
630957.3444802,38.0169930687
645654.2290346,38.0169930692
660693.4480076,38.0169930697
676082.975392,38.0169930702
691830.9709189,38.0169930707
707945.7843841,38.0169930711
724435.960075,38.0169930715
741310.2413009,38.0169930719
758577.5750292,38.0169930723
776247.1166287,38.0169930727
794328.2347243,38.016993073
812830.5161641,38.0169930734
831763.7711027,38.0169930737
851138.0382024,38.016993074
870963.5899561,38.0169930743
891250.9381337,38.0169930746
912010.8393559,38.0169930748
933254.300797,38.0169930751
954992.5860214,38.0169930753
977237.2209558,38.0169930756
1000000,38.0169930758
1023292.992281,38.016993076
1047128.548051,38.0169930762
1071519.305238,38.0169930764
1096478.196143,38.0169930766
1122018.454302,38.0169930768
1148153.621497,38.0169930769
1174897.55494,38.0169930771
1202264.434617,38.0169930772
1230268.770812,38.0169930774
1258925.411794,38.0169930775
1288249.551693,38.0169930777
1318256.738556,38.0169930778
1348962.882592,38.0169930779
1380384.264603,38.016993078
1412537.544623,38.0169930781
1445439.770746,38.0169930782
1479108.388168,38.0169930783
1513561.248436,38.0169930784
1548816.618912,38.0169930785
1584893.192461,38.0169930786
1621810.097359,38.0169930787
1659586.907438,38.0169930788
1698243.652462,38.0169930789
1737800.828749,38.0169930789
1778279.410039,38.016993079
1819700.85861,38.0169930791
1862087.136663,38.0169930791
1905460.717963,38.0169930792
1949844.599758,38.0169930793
1995262.314969,38.0169930793
2041737.944669,38.0169930794
2089296.130854,38.0169930794
2137962.089502,38.0169930795
2187761.62395,38.0169930795
2238721.138568,38.0169930796
2290867.652768,38.0169930796
2344228.81532,38.0169930796
2398832.919019,38.0169930797
2454708.915685,38.0169930797
2511886.43151,38.0169930797
2570395.782769,38.0169930798
2630267.991895,38.0169930798
2691534.803927,38.0169930798
2754228.703338,38.0169930799
2818382.931264,38.0169930799
2884031.503127,38.0169930799
2951209.226666,38.0169930799
3019951.720402,38.01699308
3090295.432514,38.01699308
3162277.660168,38.01699308
3235936.569296,38.01699308
3311311.214826,38.0169930801
3388441.561392,38.0169930801
3467368.504525,38.0169930801
3548133.892336,38.0169930801
3630780.547701,38.0169930801
3715352.290972,38.0169930801
3801893.963206,38.0169930802
3890451.449943,38.0169930802
3981071.705535,38.0169930802
4073802.778041,38.0169930802
4168693.834703,38.0169930802
4265795.188016,38.0169930802
4365158.322402,38.0169930802
4466835.92151,38.0169930803
4570881.896149,38.0169930803
4677351.412872,38.0169930803
4786300.923226,38.0169930803
4897788.193684,38.0169930803
5011872.336273,38.0169930803
5128613.839914,38.0169930803
5248074.602498,38.0169930803
5370317.963702,38.0169930803
5495408.738576,38.0169930803
5623413.251903,38.0169930803
5754399.373371,38.0169930803
5888436.553556,38.0169930804
6025595.860743,38.0169930804
6165950.018615,38.0169930804
6309573.444802,38.0169930804
6456542.290346,38.0169930804
6606934.480076,38.0169930804
6760829.75392,38.0169930804
6918309.709189,38.0169930804
7079457.843841,38.0169930804
7244359.60075,38.0169930804
7413102.413009,38.0169930804
7585775.750292,38.0169930804
7762471.166287,38.0169930804
7943282.347243,38.0169930804
8128305.161641,38.0169930804
8317637.711027,38.0169930804
8511380.382024,38.0169930804
8709635.899561,38.0169930804
8912509.381337,38.0169930804
9120108.393559,38.0169930804
9332543.00797,38.0169930804
9549925.860214,38.0169930804
9772372.209558,38.0169930804
10000000,38.0169930804
10232929.92281,38.0169930804
10471285.48051,38.0169930804
10715193.05238,38.0169930804
10964781.96143,38.0169930804
11220184.54302,38.0169930805
11481536.21497,38.0169930805
11748975.5494,38.0169930805
12022644.34617,38.0169930805
12302687.70812,38.0169930805
12589254.11794,38.0169930805
12882495.51693,38.0169930805
13182567.38556,38.0169930805
13489628.82592,38.0169930805
13803842.64603,38.0169930805
14125375.44623,38.0169930805
14454397.70746,38.0169930805
14791083.88168,38.0169930805
15135612.48436,38.0169930805
15488166.18912,38.0169930805
15848931.92461,38.0169930805
16218100.97359,38.0169930805
16595869.07438,38.0169930805
16982436.52462,38.0169930805
17378008.28749,38.0169930805
17782794.10039,38.0169930805
18197008.5861,38.0169930805
18620871.36663,38.0169930805
19054607.17963,38.0169930805
19498445.99758,38.0169930805
19952623.14969,38.0169930805
20417379.44669,38.0169930805
20892961.30854,38.0169930805
21379620.89502,38.0169930805
21877616.2395,38.0169930805
22387211.38568,38.0169930805
22908676.52768,38.0169930805
23442288.1532,38.0169930805
23988329.19019,38.0169930805
24547089.15685,38.0169930805
25118864.3151,38.0169930805
25703957.82769,38.0169930805
26302679.91895,38.0169930805
26915348.03927,38.0169930805
27542287.03338,38.0169930805
28183829.31264,38.0169930805
28840315.03127,38.0169930805
29512092.26666,38.0169930805
30199517.20402,38.0169930805
30902954.32514,38.0169930805
31622776.60168,38.0169930805
32359365.69296,38.0169930805
33113112.14826,38.0169930805
33884415.61392,38.0169930805
34673685.04525,38.0169930805
35481338.92336,38.0169930805
36307805.47701,38.0169930805
37153522.90972,38.0169930805
38018939.63206,38.0169930805
38904514.49943,38.0169930805
39810717.05535,38.0169930805
40738027.78041,38.0169930805
41686938.34703,38.0169930805
42657951.88016,38.0169930805
43651583.22402,38.0169930805
44668359.2151,38.0169930805
45708818.96149,38.0169930805
46773514.12872,38.0169930805
47863009.23226,38.0169930805
48977881.93684,38.0169930805
50118723.36273,38.0169930805
51286138.39914,38.0169930805
52480746.02498,38.0169930805
53703179.63702,38.0169930805
54954087.38576,38.0169930805
56234132.51903,38.0169930805
57543993.73371,38.0169930805
58884365.53556,38.0169930805
60255958.60743,38.0169930805
61659500.18615,38.0169930805
63095734.44802,38.0169930805
64565422.90346,38.0169930805
66069344.80076,38.0169930805
67608297.5392,38.0169930805
69183097.09189,38.0169930805
70794578.43841,38.0169930805
72443596.0075,38.0169930805
74131024.13009,38.0169930805
75857757.50292,38.0169930805
77624711.66287,38.0169930805
79432823.47243,38.0169930805
81283051.61641,38.0169930805
83176377.11027,38.0169930805
85113803.82024,38.0169930805
87096358.99561,38.0169930805
89125093.81337,38.0169930805
91201083.93559,38.0169930805
93325430.0797,38.0169930805
95499258.60214,38.0169930805
97723722.09558,38.0169930805
100000000,38.0169930805
102329299.2281,38.0169930805
104712854.8051,38.0169930805
107151930.5238,38.0169930805
109647819.6143,38.0169930805
112201845.4302,38.0169930805
114815362.1497,38.0169930805
117489755.494,38.0169930805
120226443.4617,38.0169930805
123026877.0812,38.0169930805
125892541.1794,38.0169930805
128824955.1693,38.0169930805
131825673.8556,38.0169930805
134896288.2592,38.0169930805
138038426.4603,38.0169930805
141253754.4623,38.0169930805
144543977.0746,38.0169930805
147910838.8168,38.0169930805
151356124.8436,38.0169930805
154881661.8912,38.0169930805
158489319.2461,38.0169930805
162181009.7359,38.0169930805
165958690.7438,38.0169930805
169824365.2462,38.0169930805
173780082.8749,38.0169930805
177827941.0039,38.0169930805
181970085.861,38.0169930805
186208713.6663,38.0169930805
190546071.7963,38.0169930805
194984459.9758,38.0169930805
199526231.4969,38.0169930805
204173794.4669,38.0169930805
208929613.0854,38.0169930805
213796208.9502,38.0169930805
218776162.395,38.0169930805
223872113.8568,38.0169930805
229086765.2768,38.0169930805
234422881.532,38.0169930805
239883291.9019,38.0169930805
245470891.5685,38.0169930805
251188643.151,38.0169930805
257039578.2769,38.0169930805
263026799.1895,38.0169930805
269153480.3927,38.0169930805
275422870.3338,38.0169930805
281838293.1264,38.0169930805
288403150.3127,38.0169930805
295120922.6666,38.0169930805
301995172.0402,38.0169930805
309029543.2514,38.0169930805
316227766.0168,38.0169930805
323593656.9296,38.0169930805
331131121.4826,38.0169930805
338844156.1392,38.0169930805
346736850.4525,38.0169930805
354813389.2336,38.0169930805
363078054.7701,38.0169930805
371535229.0972,38.0169930805
380189396.3206,38.0169930805
389045144.9943,38.0169930805
398107170.5535,38.0169930805
407380277.8041,38.0169930805
416869383.4703,38.0169930805
426579518.8016,38.0169930805
436515832.2402,38.0169930805
446683592.151,38.0169930805
457088189.6149,38.0169930805
467735141.2872,38.0169930805
478630092.3226,38.0169930805
