X,Y
10,0.9671894207
10.2329299228,0.9896924966
10.4712854805,1.0127179034
10.7151930524,1.0362776771
10.9647819614,1.0603841244
11.220184543,1.085049829
11.481536215,1.1102876566
11.7489755494,1.1361107615
12.0226443462,1.1625325921
12.3026877081,1.1895668966
12.5892541179,1.2172277297
12.8824955169,1.2455294582
13.1825673856,1.2744867676
13.4896288259,1.3041146679
13.803842646,1.3344285005
14.1253754462,1.3654439441
14.4543977075,1.3971770215
14.7910838817,1.4296441059
15.1356124844,1.4628619278
15.4881661891,1.4968475809
15.8489319246,1.5316185295
16.2181009736,1.5671926148
16.5958690744,1.6035880614
16.9824365246,1.6408234843
17.3780082875,1.6789178955
17.7827941004,1.7178907105
18.1970085861,1.7577617551
18.6208713666,1.798551272
19.0546071796,1.8402799272
19.4984459976,1.8829688166
19.9526231497,1.9266394724
20.4173794467,1.9713138696
20.8929613085,2.0170144315
21.379620895,2.0637640365
21.8776162395,2.1115860238
22.3872113857,2.1605041987
22.9086765277,2.2105428384
23.4422881532,2.2617266971
23.9883291902,2.3140810113
24.5470891569,2.3676315039
25.1188643151,2.4224043888
25.7039578277,2.478426375
26.302679919,2.5357246698
26.9153480393,2.5943269822
27.5422870334,2.6542615251
28.1838293126,2.7155570177
28.8403150313,2.7782426866
29.5120922667,2.8423482665
30.199517204,2.9079040008
30.9029543251,2.9749406401
31.6227766017,3.0434894411
32.359365693,3.1135821638
33.1131121483,3.1852510682
33.8844156139,3.2585289097
34.6736850453,3.3334489331
35.4813389234,3.4100448661
36.307805477,3.4883509104
37.1535229097,3.5684017323
38.0189396321,3.6502324513
38.9045144994,3.733878627
39.8107170554,3.8193762447
40.7380277804,3.9067616981
41.686938347,3.9960717714
42.6579518802,4.0873436179
43.651583224,4.180614737
44.6683592151,4.2759229488
45.7088189615,4.3733063657
46.7735141287,4.4728033616
47.8630092323,4.5744525377
48.9778819368,4.678292686
50.1187233627,4.7843627489
51.2861383991,4.8927017752
52.480746025,5.0033488731
53.703179637,5.116343159
54.9540873858,5.2317237021
56.234132519,5.3495294652
57.5439937337,5.4697992406
58.8843655356,5.5925715819
60.2559586074,5.7178847306
61.6595001862,5.8457765379
63.095734448,5.9762843807
64.5654229035,6.1094450735
66.0693448008,6.2452947728
67.6082975392,6.383868878
69.1830970919,6.525201924
70.7945784384,6.6693274697
72.4435960075,6.8162779792
74.1310241301,6.9660846967
75.8577575029,7.1187775155
77.6247116629,7.2743848402
79.4328234724,7.4329334422
81.2830516164,7.5944483091
83.1763771103,7.7589524872
85.1138038202,7.9264669181
87.0963589956,8.0970102686
89.1250938134,8.2705987545
91.2010839356,8.4472459595
93.3254300797,8.6269626473
95.4992586021,8.8097565696
97.7237220956,8.995632269
100,9.184590878
102.3292992281,9.3766299149
104.7128548051,9.571743076
107.1519305238,9.7699200273
109.6478196143,9.9711461939
112.2018454302,10.1754025509
114.8153621497,10.3826654142
117.489755494,10.5929062346
120.2264434617,10.8060913959
123.0268770812,11.0221820177
125.8925411794,11.2411337656
128.8249551693,11.4628966699
131.8256738556,11.6874149545
134.8962882592,11.9146268781
138.0384264603,12.1444645901
141.2537544623,12.3768540016
144.5439770746,12.6117146757
147.9108388168,12.8489597373
151.3561248436,13.0884958059
154.8816618912,13.3302229523
158.4893192461,13.5740346826
162.1810097359,13.8198179493
165.9586907438,14.0674531946
169.8243652462,14.3168144239
173.7800828749,14.5677693144
177.8279410039,14.8201793582
181.970085861,15.0739000412
186.2087136663,15.3287810602
190.5460717963,15.5846665765
194.9844599758,15.8413955089
199.5262314969,16.0988018631
204.173794467,16.3567151001
208.9296130854,16.6149605404
213.7962089502,16.8733598042
218.776162395,17.1317312849
223.8721138568,17.3898906547
229.0867652768,17.6476513991
234.422881532,17.9048253786
239.8832919019,18.1612234121
245.4708915685,18.4166558806
251.188643151,18.6709333459
257.0395782769,18.923867181
263.0267991895,19.1752702059
269.1534803927,19.4249573266
275.4228703338,19.6727461704
281.8382931264,19.9184577133
288.4031503127,20.1619168955
295.1209226666,20.402953218
301.9951720402,20.6414013182
309.0295432514,20.8771015183
316.2277660168,21.1099003423
323.5936569296,21.3396509987
331.1311214826,21.5662138244
338.8441561392,21.7894566874
346.7368504525,22.0092553448
354.8133892336,22.225493755
363.0780547701,22.4380643412
371.5352290972,22.6468682063
380.1893963206,22.8518152978
389.0451449943,23.0528245229
398.1071705535,23.2498238142
407.3802778041,23.4427501469
416.8693834703,23.6315495089
426.5795188016,23.8161768258
436.5158322402,23.9965958424
446.683592151,24.172778964
457.0881896149,24.3447070596
467.7351412872,24.5123692307
478.6300923226,24.6757625482
489.7788193684,24.8348917617
501.1872336273,24.9897689836
512.8613839914,25.1404133519
524.8074602498,25.286850676
537.0317963702,25.4291130675
549.5408738576,25.5672385602
562.3413251903,25.7012707227
575.4399373372,25.8312582653
588.8436553556,25.9572546466
602.5595860744,26.0793176797
616.5950018615,26.1975091421
630.9573444802,26.3118943919
645.6542290347,26.4225419908
660.6934480076,26.5295233368
676.082975392,26.6329123086
691.8309709189,26.7327849217
707.9457843841,26.8292189985
724.435960075,26.9222938524
741.3102413009,27.0120899884
758.5775750292,27.0986888177
776.2471166287,27.1821723901
794.3282347243,27.2626231422
812.8305161641,27.3401236617
831.7637711027,27.4147564686
851.1380382024,27.4866038127
870.9635899561,27.555747487
891.2509381337,27.6222686564
912.0108393559,27.6862477017
933.254300797,27.7477640789
954.9925860214,27.8068961916
977.2372209558,27.8637212776
1000,27.9183153081
1023.292992281,27.9707528994
1047.128548051,28.0211072357
1071.519305238,28.0694500033
1096.478196143,28.1158513348
1122.018454302,28.1603797625
1148.153621497,28.2031021816
1174.89755494,28.2440838206
1202.264434617,28.2833882199
1230.268770812,28.3210772174
1258.925411794,28.3572109406
1288.249551693,28.3918478039
1318.256738556,28.4250445122
1348.962882592,28.4568560685
1380.384264603,28.4873357865
1412.537544623,28.5165353065
1445.439770746,28.544504615
1479.108388168,28.5712920677
1513.561248436,28.5969444145
1548.816618912,28.6215068274
1584.893192461,28.6450229299
1621.810097359,28.6675348288
1659.586907438,28.6890831467
1698.243652462,28.7097070563
1737.800828749,28.729444315
1778.279410039,28.7483313009
1819.70085861,28.7664030488
1862.087136663,28.7836932871
1905.460717963,28.8002344742
1949.844599758,28.8160578356
1995.262314969,28.8311934008
2041.73794467,28.8456700397
2089.296130854,28.8595154989
2137.962089502,28.8727564382
2187.76162395,28.8854184651
2238.721138568,28.897526171
2290.867652768,28.9091031647
2344.22881532,28.9201721066
2398.832919019,28.9307547419
2454.708915685,28.9408719325
2511.88643151,28.9505436895
