X,Y
10,0.0068660973
10.2329299228,0.0069787877
10.4712854805,0.007091755
10.7151930524,0.007204924
10.9647819614,0.0073182176
11.220184543,0.007431557
11.481536215,0.0075448624
11.7489755494,0.0076580526
12.0226443462,0.0077710455
12.3026877081,0.0078837586
12.5892541179,0.0079961087
12.8824955169,0.0081080126
13.1825673856,0.0082193874
13.4896288259,0.0083301505
13.803842646,0.00844022
14.1253754462,0.008549515
14.4543977075,0.0086579558
14.7910838817,0.0087654645
15.1356124844,0.0088719647
15.4881661891,0.0089773823
15.8489319246,0.0090816453
16.2181009736,0.0091846845
16.5958690744,0.0092864334
16.9824365246,0.0093868283
17.3780082875,0.0094858089
17.7827941004,0.0095833182
18.1970085861,0.0096793027
18.6208713666,0.0097737124
19.0546071796,0.0098665011
19.4984459976,0.0099576267
19.9526231497,0.0100470506
20.4173794467,0.0101347383
20.8929613085,0.0102206594
21.379620895,0.0103047872
21.8776162395,0.0103870991
22.3872113857,0.0104675765
22.9086765277,0.0105462044
23.4422881532,0.0106229718
23.9883291902,0.0106978713
24.5470891569,0.010770899
25.1188643151,0.0108420546
25.7039578277,0.0109113411
26.302679919,0.0109787647
26.9153480393,0.0110443345
27.5422870334,0.0111080626
28.1838293126,0.0111699639
28.8403150313,0.0112300557
29.5120922667,0.0112883578
30.199517204,0.011344892
30.9029543251,0.0113996825
31.6227766017,0.0114527549
32.359365693,0.0115041369
33.1131121483,0.0115538576
33.8844156139,0.0116019473
34.6736850453,0.0116484377
35.4813389234,0.0116933615
36.307805477,0.0117367522
37.1535229097,0.0117786441
38.0189396321,0.0118190722
38.9045144994,0.011858072
39.8107170554,0.0118956792
40.7380277804,0.0119319298
41.686938347,0.0119668601
42.6579518802,0.0120005062
43.651583224,0.0120329044
44.6683592151,0.0120640907
45.7088189615,0.0120941009
46.7735141287,0.0121229704
47.8630092323,0.0121507345
48.9778819368,0.0121774279
50.1187233627,0.0122030847
51.2861383991,0.0122277389
52.480746025,0.0122514234
53.703179637,0.012274171
54.9540873858,0.0122960134
56.234132519,0.012316982
57.5439937337,0.0123371073
58.8843655356,0.0123564192
60.2559586074,0.0123749468
61.6595001862,0.0123927186
63.095734448,0.0124097622
64.5654229035,0.0124261045
66.0693448008,0.0124417718
67.6082975392,0.0124567893
69.1830970919,0.0124711818
70.7945784384,0.0124849732
72.4435960075,0.0124981867
74.1310241301,0.0125108448
75.8577575029,0.0125229691
